"Time","pod:adservice-w5-7f8bc8f6dc-cmmfh_service:adservice_node:worker5.novalocal","pod:cartservice-w5-75f86c645b-64wcp_service:cartservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-pn2db_service:currencyservice_node:worker5.novalocal","pod:currencyservice-w5-c4b744f78-sgs9k_service:currencyservice_node:worker5.novalocal","pod:frontend-w5-694754cf8c-5b7z8_service:frontend_node:worker5.novalocal","pod:frontend-w5-694754cf8c-828v6_service:frontend_node:worker5.novalocal","pod:productcatalogservice-w5-57bdd77569-prgng_service:productcatalogservice_node:worker5.novalocal","pod:recommendationservice-w5-5b76bbf5dc-nf6r9_service:recommendationservice_node:worker5.novalocal","pod:redis-cart-w5-f4cd458fc-bqbpj_service:redis-cart_node:worker5.novalocal","pod:redis-cart-w6-f4cd458fc-pltw2_service:redis-cart_node:worker5.novalocal","pod:adservice-w6-855c98bf6b-rrwgm_service:adservice_node:worker6.novalocal","pod:cartservice-w6-6d4d6c4c5c-t2496_service:cartservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-bczr9_service:currencyservice_node:worker6.novalocal","pod:currencyservice-w6-5b776bf55-dw8ph_service:currencyservice_node:worker6.novalocal","pod:frontend-w6-848ff7549d-b2pms_service:frontend_node:worker6.novalocal","pod:frontend-w6-848ff7549d-hm6cd_service:frontend_node:worker6.novalocal","pod:productcatalogservice-w6-67544f6596-lscc2_service:productcatalogservice_node:worker6.novalocal","pod:recommendationservice-w6-6c8dc9f77d-96pj2_service:recommendationservice_node:worker6.novalocal"
2021-06-06 19:08:30,0.105,0.107,0.411,0.403,0.560,0.556,0.100,0.00728,0.0155,0.0237,0.0935,0.185,0.375,0.377,0.604,0.597,0.0805,0.00749
2021-06-06 19:09:00,0.108,0.0956,0.399,0.407,0.559,0.558,0.100,0.00732,0.0144,0.0251,0.0942,0.186,0.390,0.409,0.622,0.616,0.0846,0.00821
2021-06-06 19:09:30,0.108,0.111,0.402,0.408,0.557,0.555,0.0995,0.00724,0.0163,0.0224,0.0953,0.176,0.396,0.413,0.609,0.640,0.0885,0.00838
2021-06-06 19:10:00,0.107,0.110,0.387,0.416,0.558,0.555,0.0964,0.00718,0.0164,0.0226,0.0950,0.163,0.370,0.387,0.615,0.589,0.0866,0.00695
2021-06-06 19:10:30,0.107,0.106,0.393,0.413,0.556,0.553,0.0975,0.00706,0.0162,0.0227,0.0897,0.161,0.361,0.411,0.586,0.613,0.0884,0.00754
2021-06-06 19:11:00,0.107,0.107,0.414,0.401,0.553,0.551,0.0974,0.00697,0.0160,0.0226,0.0945,0.159,0.387,0.386,0.584,0.617,0.0870,0.00763
2021-06-06 19:11:30,0.109,0.105,0.423,0.404,0.550,0.549,0.0966,0.00705,0.0158,0.0232,0.0870,0.160,0.383,0.386,0.588,0.596,0.0859,0.00733
2021-06-06 19:12:00,0.110,0.107,0.400,0.424,0.551,0.550,0.0985,0.00699,0.0159,0.0232,0.0881,0.172,0.385,0.356,0.587,0.603,0.0849,0.00831
2021-06-06 19:12:30,0.109,0.114,0.395,0.423,0.546,0.545,0.102,0.00703,0.0169,0.0216,0.0891,0.171,0.376,0.402,0.645,0.624,0.0789,0.00776
2021-06-06 19:13:00,0.101,0.107,0.354,0.386,0.510,0.509,0.0955,0.00841,0.0167,0.0200,0.0901,0.153,0.385,0.370,0.605,0.594,0.0759,0.00898
2021-06-06 19:13:30,0.0946,0.103,0.311,0.328,0.450,0.438,0.0871,0.0101,0.0154,0.0166,0.0835,0.132,0.323,0.313,0.519,0.478,0.0635,0.00885
2021-06-06 19:14:00,0.0884,0.0831,0.265,0.286,0.377,0.376,0.0752,0.0110,0.0133,0.0163,0.0795,0.123,0.287,0.275,0.438,0.455,0.0518,0.0106
